room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
18976753,1430,6983558,Shared room,,San Francisco,,South of Market,9,5.0,2,1.0,,100.0,,2017-07-10 23:43:24.352994,37.779712,-122.396927,0101000020E610000090F9804067995EC03E26529ACDE34240
16606328,1430,4582815,Shared room,,San Francisco,,Financial District,26,4.5,2,1.0,,85.0,,2017-07-10 23:43:24.349804,37.784647,-122.399711,0101000020E61000007E3672DD94995EC0C7F319506FE44240
18361820,1430,1377490,Shared room,,San Francisco,,South of Market,0,0.0,1,1.0,,80.0,,2017-07-10 23:43:22.325621,37.781258,-122.389336,0101000020E6100000F3C98AE1EA985EC083DE1B4300E44240
8256165,1430,18682626,Shared room,,San Francisco,,South of Market,0,0.0,1,1.0,,70.0,,2017-07-10 23:43:20.516070,37.778477,-122.393829,0101000020E6100000D9CD8C7E34995EC017D86322A5E34240
13191340,1430,10623716,Shared room,,San Francisco,,South of Market,1,0.0,1,1.0,,80.0,,2017-07-10 23:43:20.513384,37.774037,-122.396721,0101000020E6100000BB287AE063995EC06D72F8A413E34240
14040855,1430,84133769,Shared room,,San Francisco,,South of Market,9,5.0,1,1.0,,69.0,,2017-07-10 23:43:20.510715,37.781508,-122.390068,0101000020E6100000D5CDC5DFF6985EC0FCC7427408E44240
19104498,1430,18685185,Shared room,,San Francisco,,Western Addition,0,0.0,1,1.0,,80.0,,2017-07-10 23:43:20.508118,37.783475,-122.431497,0101000020E61000009DD497A59D9B5EC0E71DA7E848E44240
7844269,1430,41334972,Shared room,,San Francisco,,Mission,0,0.0,1,1.0,,75.0,,2017-07-10 23:43:20.499390,37.760614,-122.422745,0101000020E61000000B630B410E9B5EC09B70AFCC5BE14240
3139003,1430,15694468,Shared room,,San Francisco,,Mission,0,0.0,1,1.0,,75.0,,2017-07-10 23:43:20.496636,37.761304,-122.408768,0101000020E6100000AFE94141299A5EC03128D36872E14240
1566931,1430,916362,Shared room,,San Francisco,,Marina,22,5.0,1,1.0,,75.0,,2017-07-10 23:43:20.493927,37.802492,-122.429525,0101000020E61000001FF46C567D9B5EC09CA6CF0EB8E64240
7807401,1430,22053410,Shared room,,San Francisco,,Inner Richmond,0,0.0,1,1.0,,75.0,,2017-07-10 23:43:20.491087,37.781333,-122.454758,0101000020E61000000A664CC11A9D5EC08D2441B802E44240
12270642,1430,22931450,Shared room,,San Francisco,,North Beach,29,4.5,2,1.0,,80.0,,2017-07-10 23:43:20.488452,37.799248,-122.404596,0101000020E6100000EA059FE6E4995EC05BB22AC24DE64240
17894683,1430,12883461,Shared room,,San Francisco,,North Beach,0,0.0,1,1.0,,70.0,,2017-07-10 23:43:20.485764,37.79912,-122.405929,0101000020E6100000DFDFA0BDFA995EC02ECA6C9049E64240
6433637,1430,3673651,Shared room,,San Francisco,,Mission,3,4.5,1,1.0,,75.0,,2017-07-10 23:43:20.483162,37.749619,-122.420938,0101000020E610000032E9EFA5F09A5EC0E9BAF083F3DF4240
8377605,1430,9744251,Shared room,,San Francisco,,Western Addition,8,4.5,14,1.0,,69.0,,2017-07-10 23:43:20.480626,37.784029,-122.423548,0101000020E6100000511212691B9B5EC0CB0EF10F5BE44240
8277136,1430,7386041,Shared room,,San Francisco,,South of Market,1,0.0,1,1.0,,72.0,,2017-07-10 23:43:20.478069,37.778446,-122.394132,0101000020E6100000A7936C7539995EC0DCD9571EA4E34240
14383718,1430,69249358,Shared room,,San Francisco,,Western Addition,3,5.0,1,1.0,,75.0,,2017-07-10 23:43:20.475456,37.783098,-122.445781,0101000020E6100000670B08AD879C5EC011C8258E3CE44240
